ticker,asset_class,status,tradeable,source_count,sources,selected_price,max_deviation_pct,reason
"AAPL","stocks","consensus",true,2,"yahoo|nasdaq",297.06,0.006732419968351504,"independent equity anchors agree"
"TSLA","stocks","consensus",true,2,"yahoo|nasdaq",382.51,0.037914691943123205,"independent equity anchors agree"
"NVDA","stocks","consensus",true,2,"yahoo|nasdaq",201,0.06469753900514866,"independent equity anchors agree"
"MSFT","stocks","consensus",true,2,"yahoo|nasdaq",374.44,0.040051800328418694,"independent equity anchors agree"
"GOOGL","stocks","consensus",true,2,"yahoo|nasdaq",352.89,0.04674585130570242,"independent equity anchors agree"
"AMZN","stocks","consensus",true,2,"yahoo|nasdaq",240.11,0.020821621171417306,"independent equity anchors agree"
"META","stocks","consensus",true,2,"yahoo|nasdaq",564.71,0,"independent equity anchors agree"
"SPY","etf","consensus",true,2,"yahoo|nasdaq",738.75,0.009475914256519771,"independent equity anchors agree"
"QQQ","etf","consensus",true,2,"yahoo|nasdaq",718.53,0.057077228274105475,"independent equity anchors agree"
"SQQQ","etf","consensus",true,2,"yahoo|nasdaq",39.115,0.21707208069974043,"independent equity anchors agree"
"TQQQ","etf","consensus",true,2,"yahoo|nasdaq",75.84,0.31034368912806554,"independent equity anchors agree"
"PLTR","stocks","consensus",true,2,"yahoo|nasdaq",116.29,0.06017623038899048,"independent equity anchors agree"
"CRCL","stocks","consensus",true,2,"yahoo|nasdaq",72.87,0,"independent equity anchors agree"
"HOOD","stocks","consensus",true,2,"yahoo|nasdaq",99.975,0.10508143811452852,"independent equity anchors agree"
"MSTR","stocks","consensus",true,2,"yahoo|nasdaq",98.84,0.19241480581295023,"independent equity anchors agree"
"ORCL","stocks","consensus",true,2,"yahoo|nasdaq",160.12,0.012491412154150417,"independent equity anchors agree"
"NFLX","stocks","consensus",true,2,"yahoo|nasdaq",72.23,0.01384370457533177,"independent equity anchors agree"
"BABA","stocks","consensus",true,2,"yahoo|nasdaq",100.94,0.009907366126706202,"independent equity anchors agree"
"GME","stocks","consensus",true,2,"yahoo|nasdaq",21.5,0.04650081376424814,"independent equity anchors agree"
